Year,grade,total,girls,boys,State
2015-16,12,26224,14253,11971,MEGHALAYA
2014-15,8,66036,34987,31049,MEGHALAYA
2014-15,9,56199,29967,26232,MEGHALAYA
2014-15,10,43331,23068,20263,MEGHALAYA
2014-15,11,22372,12434,9938,MEGHALAYA
2014-15,12,22122,12152,9970,MEGHALAYA
2013-14,8,63510,34064,29446,MEGHALAYA
2013-14,9,51814,27544,24270,MEGHALAYA
2013-14,10,40372,21759,18613,MEGHALAYA
2013-14,11,15639,8845,6794,MEGHALAYA
2013-14,12,12953,7412,5541,MEGHALAYA
2012-13,8,57758,30683,27075,MEGHALAYA
2012-13,9,45725,24624,21101,MEGHALAYA
2012-13,10,35413,19080,16333,MEGHALAYA
2012-13,11,11645,6804,4841,MEGHALAYA
2012-13,12,10328,5910,4418,MEGHALAYA
2016-17,8,20780,9990,10790,MIZORAM
2016-17,9,20773,10110,10663,MIZORAM
2016-17,10,15756,8202,7554,MIZORAM
2016-17,11,11582,5938,5644,MIZORAM
2016-17,12,10958,5646,5312,MIZORAM
2015-16,8,21559,10296,11263,MIZORAM
2015-16,9,22110,10910,11200,MIZORAM
2015-16,10,19424,9800,9624,MIZORAM
2015-16,11,11258,5748,5510,MIZORAM
2015-16,12,11728,6001,5727,MIZORAM
2014-15,8,21783,10711,11072,MIZORAM
2014-15,9,20964,10161,10803,MIZORAM
2014-15,10,19747,10047,9700,MIZORAM
2014-15,11,11890,5981,5909,MIZORAM
2014-15,12,10672,5229,5443,MIZORAM
2013-14,8,20625,9994,10631,MIZORAM
2013-14,9,20447,9828,10619,MIZORAM
2013-14,10,20111,10236,9875,MIZORAM
2013-14,11,9838,4892,4946,MIZORAM
2013-14,12,11646,5966,5680,MIZORAM
2012-13,8,24156,11710,12446,MIZORAM
2012-13,9,21502,10540,10962,MIZORAM
2012-13,10,17983,9136,8847,MIZORAM
2012-13,11,10318,5086,5232,MIZORAM
2012-13,12,9922,4943,4979,MIZORAM
2016-17,8,30321,14915,15406,NAGALAND
2016-17,9,31001,15394,15607,NAGALAND
2016-17,10,20099,10328,9771,NAGALAND
2016-17,11,16838,8249,8589,NAGALAND
2016-17,12,14256,7168,7088,NAGALAND
2015-16,8,34441,16955,17486,NAGALAND
2015-16,9,36306,18001,18305,NAGALAND
2015-16,10,22909,11566,11343,NAGALAND
2015-16,11,17318,8465,8853,NAGALAND
2015-16,12,13884,6823,7061,NAGALAND
2014-15,8,35207,17458,17749,NAGALAND
2014-15,9,32771,16440,16331,NAGALAND
2014-15,10,20241,10147,10094,NAGALAND
2014-15,11,15213,7201,8012,NAGALAND
2014-15,12,12897,6417,6480,NAGALAND
2013-14,8,39173,19535,19638,NAGALAND
2013-14,9,34741,17354,17387,NAGALAND
2013-14,10,22338,11198,11140,NAGALAND
2013-14,11,15057,7348,7709,NAGALAND
2013-14,12,12137,5763,6374,NAGALAND
2012-13,8,40004,19784,20220,NAGALAND
2012-13,9,31000,15545,15455,NAGALAND
2012-13,10,22250,10963,11287,NAGALAND
2012-13,11,15130,7030,8100,NAGALAND
2012-13,12,13738,6633,7105,NAGALAND
2016-17,8,702028,339575,362453,ODISHA
2016-17,9,641597,313820,327777,ODISHA
2016-17,10,613683,305937,307746,ODISHA
2016-17,11,275852,136023,139829,ODISHA
2016-17,12,270128,132038,138090,ODISHA
2015-16,8,701864,341677,360187,ODISHA
2015-16,9,648573,320664,327909,ODISHA
2015-16,10,602052,300302,301750,ODISHA
2015-16,11,260950,127992,132958,ODISHA
2015-16,12,236606,116740,119866,ODISHA
2014-15,8,698267,343160,355107,ODISHA
2014-15,9,632564,311743,320821,ODISHA
2014-15,10,592997,294808,298189,ODISHA
2014-15,11,13086,6049,7037,ODISHA
2014-15,12,11644,5383,6261,ODISHA
2013-14,8,664001,324584,339417,ODISHA
2013-14,9,628911,309937,318974,ODISHA
2013-14,10,577088,289375,287713,ODISHA
2013-14,11,9247,4006,5241,ODISHA
2013-14,12,8235,3632,4603,ODISHA
2012-13,8,656959,321652,335307,ODISHA
2012-13,9,644873,316468,328405,ODISHA
2012-13,10,557341,281767,275574,ODISHA
2012-13,11,8151,3517,4634,ODISHA
2012-13,12,7192,3204,3988,ODISHA
2012-13,8,24506,12026,12480,PONDICHERRY
2012-13,9,25295,12018,13277,PONDICHERRY
2012-13,10,21290,10554,10736,PONDICHERRY
2012-13,11,16618,8785,7833,PONDICHERRY
2012-13,12,13886,7604,6282,PONDICHERRY
2016-17,8,21008,10185,10823,PONDICHERRY
2016-17,9,23199,11001,12198,PONDICHERRY
2016-17,10,20318,9982,10336,PONDICHERRY
2016-17,11,17735,9291,8444,PONDICHERRY
2016-17,12,16964,9067,7897,PONDICHERRY
2015-16,8,22207,10707,11500,PONDICHERRY
2015-16,9,23491,11069,12422,PONDICHERRY
2015-16,10,20743,10480,10263,PONDICHERRY
2015-16,11,18977,9883,9094,PONDICHERRY
2015-16,12,16010,8546,7464,PONDICHERRY
2014-15,8,22249,10654,11595,PONDICHERRY
2014-15,9,23873,11544,12329,PONDICHERRY
2014-15,10,22494,11264,11230,PONDICHERRY
2014-15,11,17017,8982,8035,PONDICHERRY
2014-15,12,15274,8247,7027,PONDICHERRY
2013-14,8,22480,11121,11359,PONDICHERRY
2013-14,9,26245,12569,13676,PONDICHERRY
2013-14,10,21046,10389,10657,PONDICHERRY
2013-14,11,17226,9054,8172,PONDICHERRY
2013-14,12,15140,8254,6886,PONDICHERRY
2016-17,8,480176,216089,264087,PUNJAB
2016-17,9,461242,199767,261475,PUNJAB
2016-17,10,426461,185278,241183,PUNJAB
2016-17,11,373535,165183,208352,PUNJAB
2016-17,12,338148,152091,186057,PUNJAB
2015-16,8,473949,209017,264932,PUNJAB
2015-16,9,455303,195256,260047,PUNJAB
2015-16,10,432139,188343,243796,PUNJAB
2015-16,11,357890,159196,198694,PUNJAB
2015-16,12,333628,149372,184256,PUNJAB
2014-15,8,473349,206611,266738,PUNJAB
2014-15,9,451412,195022,256390,PUNJAB
2014-15,10,426034,187226,238808,PUNJAB
2014-15,11,351639,154212,197427,PUNJAB
2014-15,12,342835,155278,187557,PUNJAB
2013-14,8,469897,207087,262810,PUNJAB
2013-14,9,459425,198659,260766,PUNJAB
2013-14,10,404421,178694,225727,PUNJAB
2013-14,11,363595,160238,203357,PUNJAB
2013-14,12,326186,148614,177572,PUNJAB
2012-13,8,490108,213820,276288,PUNJAB
2012-13,9,423062,186503,236559,PUNJAB
2012-13,10,434700,193393,241307,PUNJAB
2012-13,11,355040,158733,196307,PUNJAB
2012-13,12,296196,137161,159035,PUNJAB
2016-17,8,1288995,581190,707805,RAJASTHAN
2016-17,9,1218649,531828,686821,RAJASTHAN
2016-17,10,1130073,485344,644729,RAJASTHAN
2016-17,11,812991,341523,471468,RAJASTHAN
2016-17,12,872300,358623,513677,RAJASTHAN
2015-16,8,1258976,562444,696532,RAJASTHAN
2015-16,9,1214024,525376,688648,RAJASTHAN
2015-16,10,1117215,467798,649417,RAJASTHAN
2015-16,11,845021,354113,490908,RAJASTHAN
2015-16,12,812314,319796,492518,RAJASTHAN
2014-15,8,1224944,541498,683446,RAJASTHAN
2014-15,9,1192043,503950,688093,RAJASTHAN
2014-15,10,1128129,468793,659336,RAJASTHAN
2014-15,11,745354,303100,442254,RAJASTHAN
2014-15,12,820232,319959,500273,RAJASTHAN
2013-14,8,1257697,555965,701732,RAJASTHAN
2013-14,9,1216241,519204,697037,RAJASTHAN
2013-14,10,1147590,471370,676220,RAJASTHAN
2013-14,11,751214,301332,449882,RAJASTHAN
2013-14,12,694784,261457,433327,RAJASTHAN
2012-13,8,1273868,565174,708694,RAJASTHAN
2012-13,9,1096079,455220,640859,RAJASTHAN
2012-13,10,1149358,469043,680315,RAJASTHAN
2012-13,11,593817,236487,357330,RAJASTHAN
2012-13,12,714644,267178,447466,RAJASTHAN
2016-17,8,13089,6744,6345,SIKKIM
2016-17,9,15080,7763,7317,SIKKIM
2016-17,10,10392,5494,4898,SIKKIM
2016-17,11,8819,4736,4083,SIKKIM
2016-17,12,7219,4072,3147,SIKKIM
2015-16,8,14320,7340,6980,SIKKIM
2015-16,9,16115,8366,7749,SIKKIM
2015-16,10,11135,5874,5261,SIKKIM
2015-16,11,9169,5032,4137,SIKKIM
2015-16,12,7870,4358,3512,SIKKIM
2014-15,8,14716,7701,7015,SIKKIM
2014-15,9,15293,7990,7303,SIKKIM
2014-15,10,10151,5444,4707,SIKKIM
2014-15,11,9207,5031,4176,SIKKIM
2014-15,12,7287,4059,3228,SIKKIM
2013-14,8,15052,7853,7199,SIKKIM
2013-14,9,12975,6979,5996,SIKKIM
2013-14,10,10118,5390,4728,SIKKIM
2013-14,11,8484,4672,3812,SIKKIM
2013-14,12,6515,3623,2892,SIKKIM
2012-13,8,12969,6993,5976,SIKKIM
2012-13,9,11240,5979,5261,SIKKIM
2012-13,10,9133,4975,4158,SIKKIM
2012-13,11,7226,3883,3343,SIKKIM
2012-13,12,5672,3061,2611,SIKKIM
2016-17,8,1173448,572455,600993,TAMIL NADU
2016-17,9,1147210,560045,587165,TAMIL NADU
2016-17,10,1109496,550993,558503,TAMIL NADU
2016-17,11,916498,482861,433637,TAMIL NADU
2016-17,12,903430,481063,422367,TAMIL NADU
2015-16,8,1176099,574196,601903,TAMIL NADU
2015-16,9,1161546,564570,596976,TAMIL NADU
2015-16,10,1096549,540311,556238,TAMIL NADU
2015-16,11,942855,496726,446129,TAMIL NADU
2015-16,12,840839,447260,393579,TAMIL NADU
2014-15,8,1190283,578005,612278,TAMIL NADU
2014-15,9,1122807,544334,578473,TAMIL NADU
2014-15,10,1103740,542530,561210,TAMIL NADU
2014-15,11,874768,460181,414587,TAMIL NADU
2014-15,12,840168,448975,391193,TAMIL NADU
2013-14,8,1243868,604365,639503,TAMIL NADU
2013-14,9,1169110,561025,608085,TAMIL NADU
2013-14,10,1091129,531135,559994,TAMIL NADU
2013-14,11,880578,469784,410794,TAMIL NADU
2013-14,12,827882,442268,385614,TAMIL NADU
2012-13,8,1249652,610030,639622,TAMIL NADU
2012-13,9,1121956,537104,584852,TAMIL NADU
2012-13,10,1080771,528776,551995,TAMIL NADU
2012-13,11,844534,453004,391530,TAMIL NADU
2012-13,12,795179,425516,369663,TAMIL NADU
2016-17,8,552253,270924,281329,telangana
2016-17,9,526787,259205,267582,telangana
2016-17,10,522027,257215,264812,telangana
2016-17,11,297731,153938,143793,telangana
2016-17,12,274837,143498,131339,telangana
2015-16,8,556342,273551,282791,telangana
2015-16,9,534804,263807,270997,telangana
2015-16,10,523324,260211,263113,telangana
2015-16,11,351122,180233,170889,telangana
2015-16,12,343166,173981,169185,telangana
2014-15,8,550441,270939,279502,telangana
2014-15,9,530002,263439,266563,telangana
2014-15,10,505184,251730,253454,telangana
2014-15,11,345818,173067,172751,telangana
2014-15,12,321752,160834,160918,telangana
2016-17,8,64231,31977,32254,TRIPURA
2016-17,9,75095,37469,37626,TRIPURA
2016-17,10,58668,29562,29106,TRIPURA
2016-17,11,27938,12942,14996,TRIPURA
2016-17,12,26776,12453,14323,TRIPURA
2015-16,8,65068,32223,32845,TRIPURA
2015-16,9,84533,42097,42436,TRIPURA
2015-16,10,56648,28261,28387,TRIPURA
2015-16,11,30089,13837,16252,TRIPURA
2015-16,12,26674,12201,14473,TRIPURA
2014-15,8,66087,32662,33425,TRIPURA
2014-15,9,87312,43141,44171,TRIPURA
2014-15,10,59662,29427,30235,TRIPURA
2014-15,11,29520,13448,16072,TRIPURA
2014-15,12,26840,11628,15212,TRIPURA
2013-14,8,65544,32145,33399,TRIPURA
2013-14,9,90028,44132,45896,TRIPURA
2013-14,10,57075,27952,29123,TRIPURA
2013-14,11,28870,12514,16356,TRIPURA
2013-14,12,24959,10793,14166,TRIPURA
2012-13,8,75022,36864,38158,TRIPURA
2012-13,9,80982,39669,41313,TRIPURA
2012-13,10,55008,26689,28319,TRIPURA
2012-13,11,27416,11878,15538,TRIPURA
2012-13,12,21932,9341,12591,TRIPURA
2016-17,8,3601052,1794526,1806526,UTTAR PRADESH
2016-17,9,3546340,1589810,1956530,UTTAR PRADESH
2016-17,10,3279643,1544922,1734721,UTTAR PRADESH
2016-17,11,2666089,1228569,1437520,UTTAR PRADESH
2016-17,12,2341500,1133020,1208480,UTTAR PRADESH
2015-16,8,3732795,1861296,1871499,UTTAR PRADESH
2015-16,9,3308247,1555673,1752574,UTTAR PRADESH
2015-16,10,3510535,1632690,1877845,UTTAR PRADESH
2015-16,11,2501585,1191338,1310247,UTTAR PRADESH
2015-16,12,2660853,1244271,1416582,UTTAR PRADESH
2014-15,8,3692986,1855617,1837369,UTTAR PRADESH
2014-15,9,3372729,1589200,1783529,UTTAR PRADESH
2014-15,10,3331344,1573288,1758056,UTTAR PRADESH
2014-15,11,2700413,1269469,1430944,UTTAR PRADESH
2014-15,12,2541247,1213193,1328054,UTTAR PRADESH
2013-14,8,3553214,1800634,1752580,UTTAR PRADESH
2013-14,9,3197516,1525878,1671638,UTTAR PRADESH
2013-14,10,3318439,1547051,1771388,UTTAR PRADESH
2013-14,11,2523490,1206734,1316756,UTTAR PRADESH
2013-14,12,2519294,1186273,1333021,UTTAR PRADESH
2012-13,8,3398993,1721056,1677937,UTTAR PRADESH
2012-13,9,2756373,1292378,1463995,UTTAR PRADESH
2012-13,10,2807406,1280813,1526593,UTTAR PRADESH
2012-13,11,2346348,1089829,1256519,UTTAR PRADESH
2012-13,12,1952762,884998,1067764,UTTAR PRADESH
2016-17,8,195917,93686,102231,UTTARAKHAND
2016-17,9,191691,90886,100805,UTTARAKHAND
2016-17,10,190924,92561,98363,UTTARAKHAND
2016-17,11,156693,75286,81407,UTTARAKHAND
2016-17,12,157040,77736,79304,UTTARAKHAND
2015-16,8,195242,93642,101600,UTTARAKHAND
2015-16,9,192095,90991,101104,UTTARAKHAND
2015-16,10,196518,94172,102346,UTTARAKHAND
2015-16,11,154103,75976,78127,UTTARAKHAND
2015-16,12,154578,76361,78217,UTTARAKHAND
2014-15,8,193890,93524,100366,UTTARAKHAND
2014-15,9,197590,94109,103481,UTTARAKHAND
2014-15,10,200769,96701,104068,UTTARAKHAND
2014-15,11,150799,74021,76778,UTTARAKHAND
2014-15,12,162100,78534,83566,UTTARAKHAND
2013-14,8,198487,95925,102562,UTTARAKHAND
2013-14,9,195014,93137,101877,UTTARAKHAND
2013-14,10,195919,93406,102513,UTTARAKHAND
2013-14,11,151870,73149,78721,UTTARAKHAND
2013-14,12,150815,73782,77033,UTTARAKHAND
2012-13,8,195553,95232,100321,UTTARAKHAND
2012-13,9,193798,93031,100767,UTTARAKHAND
2012-13,10,196320,94620,101700,UTTARAKHAND
2012-13,11,149683,73327,76356,UTTARAKHAND
2012-13,12,141656,68719,72937,UTTARAKHAND
2016-17,8,1443375,759216,684159,WEST BENGAL
2016-17,9,1479280,804834,674446,WEST BENGAL
2016-17,10,1114974,615595,499379,WEST BENGAL
2016-17,11,890084,461936,428148,WEST BENGAL
2016-17,12,726202,367245,358957,WEST BENGAL
2015-16,8,1601724,842262,759462,WEST BENGAL
2015-16,9,1528718,824402,704316,WEST BENGAL
2015-16,10,1230469,666948,563521,WEST BENGAL
2015-16,11,856384,432133,424251,WEST BENGAL
2015-16,12,780475,388748,391727,WEST BENGAL
2014-15,8,1568742,826309,742433,WEST BENGAL
2014-15,9,1505449,809631,695818,WEST BENGAL
2014-15,10,1125441,603139,522302,WEST BENGAL
2014-15,11,848918,422187,426731,WEST BENGAL
2014-15,12,747909,363641,384268,WEST BENGAL
2013-14,8,1512910,797641,715269,WEST BENGAL
2013-14,9,1420617,757691,662926,WEST BENGAL
2013-14,10,1113575,588925,524650,WEST BENGAL
2013-14,11,812307,393934,418373,WEST BENGAL
2013-14,12,722777,342444,380333,WEST BENGAL
2012-13,8,1486691,784421,702270,WEST BENGAL
2012-13,9,1342677,709624,633053,WEST BENGAL
2012-13,10,1072061,561011,511050,WEST BENGAL
2012-13,11,783587,372372,411215,WEST BENGAL
2012-13,12,695692,326068,369624,WEST BENGAL
