Year,grade,total,girls,boys,State
2015-16,12,15964,7918,8046,ARUNACHAL PRADESH
2014-15,8,32123,16022,16101,ARUNACHAL PRADESH
2014-15,9,29107,13887,15220,ARUNACHAL PRADESH
2014-15,10,23676,11649,12027,ARUNACHAL PRADESH
2014-15,11,19490,9571,9919,ARUNACHAL PRADESH
2014-15,12,15579,7696,7883,ARUNACHAL PRADESH
2013-14,8,31540,15807,15733,ARUNACHAL PRADESH
2013-14,9,27636,13257,14379,ARUNACHAL PRADESH
2013-14,10,23400,11212,12188,ARUNACHAL PRADESH
2013-14,11,18308,8901,9407,ARUNACHAL PRADESH
2013-14,12,15324,7547,7777,ARUNACHAL PRADESH
2012-13,8,30314,15083,15231,ARUNACHAL PRADESH
2012-13,9,25486,12002,13484,ARUNACHAL PRADESH
2012-13,10,22752,10947,11805,ARUNACHAL PRADESH
2012-13,11,15964,7661,8303,ARUNACHAL PRADESH
2012-13,12,14848,6984,7864,ARUNACHAL PRADESH
2016-17,8,564533,293201,271332,ASSAM
2016-17,9,546782,284229,262553,ASSAM
2016-17,10,430946,222501,208445,ASSAM
2016-17,11,231876,113939,117937,ASSAM
2016-17,12,207233,99439,107794,ASSAM
2015-16,8,537940,279266,258674,ASSAM
2015-16,9,543437,281388,262049,ASSAM
2015-16,10,422203,218710,203493,ASSAM
2015-16,11,229691,109223,120468,ASSAM
2015-16,12,199102,95355,103747,ASSAM
2014-15,8,578038,300081,277957,ASSAM
2014-15,9,535405,279632,255773,ASSAM
2014-15,10,406365,211424,194941,ASSAM
2014-15,11,186269,90460,95809,ASSAM
2014-15,12,190630,93609,97021,ASSAM
2013-14,8,587946,304371,283575,ASSAM
2013-14,9,517378,271334,246044,ASSAM
2013-14,10,392792,206005,186787,ASSAM
2013-14,11,201400,98396,103004,ASSAM
2013-14,12,163655,79455,84200,ASSAM
2012-13,8,575442,297752,277690,ASSAM
2012-13,9,502865,263456,239409,ASSAM
2012-13,10,361852,188084,173768,ASSAM
2012-13,11,167094,80989,86105,ASSAM
2012-13,12,148459,72629,75830,ASSAM
2016-17,8,2220132,1130593,1089539,BIHAR
2016-17,9,1716740,867037,849703,BIHAR
2016-17,10,1632166,820555,811611,BIHAR
2016-17,11,419463,179561,239902,BIHAR
2016-17,12,581152,278090,303062,BIHAR
2015-16,8,2304150,1170384,1133766,BIHAR
2015-16,9,1805886,912563,893323,BIHAR
2015-16,10,1615541,792177,823364,BIHAR
2015-16,11,634811,298735,336076,BIHAR
2015-16,12,601614,275002,326612,BIHAR
2014-15,8,2122733,1077217,1045516,BIHAR
2014-15,9,1616397,799567,816830,BIHAR
2014-15,10,1421772,688636,733136,BIHAR
2014-15,11,562075,255255,306820,BIHAR
2014-15,12,519438,230750,288688,BIHAR
2013-14,8,1768836,887578,881258,BIHAR
2013-14,9,1408840,687268,721572,BIHAR
2013-14,10,1253706,593343,660363,BIHAR
2013-14,11,427435,196360,231075,BIHAR
2013-14,12,370917,169502,201415,BIHAR
2012-13,8,1456188,732870,723318,BIHAR
2012-13,9,1295375,626061,669314,BIHAR
2012-13,10,1132480,532795,599685,BIHAR
2012-13,11,332276,153828,178448,BIHAR
2012-13,12,270874,118869,152005,BIHAR
2016-17,8,21692,9913,11779,CHANDIGARH
2016-17,9,22797,9796,13001,CHANDIGARH
2016-17,10,18588,8491,10097,CHANDIGARH
2016-17,11,21767,9273,12494,CHANDIGARH
2016-17,12,18092,7906,10186,CHANDIGARH
2015-16,8,21295,9488,11807,CHANDIGARH
2015-16,9,22579,9737,12842,CHANDIGARH
2015-16,10,17673,7931,9742,CHANDIGARH
