Year,State,TCHHS1,TCHHS2,TCHHS3,TCHHS4,TCHHS5,TCHGD1,TCHGD2,TCHGD3,TCHGD4,TCHGD5,TCHPG1,TCHPG2,TCHPG3,TCHPG4,TCHPG5,TCHMD1,TCHMD2,TCHMD3,TCHMD4,TCHMD5
2017-18,Uttar Pradesh,5242,525,119,1923,434,12243,2016,1038,4705,1911,15280,2594,2079,6963,8639,212,47,30,51,179
2017-18,West Bengal,69098,1404,912,236,1382,87603,4711,7153,16552,77552,14002,1155,5482,6940,78626,724,41,272,104,1833
2012-13,Andaman & Nicobar Island,568,320,284,22,37,200,339,544,31,151,89,156,634,29,247,2,9,79,5,27
2012-13,Andhra Pradesh,26018,11236,602,0,6803,110770,59853,5415,5,87866,41690,22187,6437,3,71617,931,714,339,0,2206
2012-13,Arunanchal Pradesh,2484,2587,234,55,69,2174,4267,801,165,365,232,794,671,39,503,15,26,13,1,8
2012-13,Assam,37834,5582,406,34887,975,25575,8602,1554,33245,9647,2240,854,601,2660,4983,178,152,46,367,188
2012-13,Bihar,68280,86944,1235,468,374,30638,64135,831,712,146,8150,30273,1682,413,436,1187,2214,80,23,48
2012-13,Chandigarh,13,26,88,0,2,81,252,1058,0,27,52,296,2647,0,85,3,14,324,0,7
2012-13,Chhattisgarh,43480,6134,2095,1656,226,27130,5218,4194,19916,465,24023,3709,5709,29041,1324,265,83,121,184,33
2012-13,Dadara & Nagar Havelli,146,253,25,0,0,125,355,128,3,9,39,200,78,0,14,0,3,10,0,0
2012-13,Daman & Diu,52,32,44,18,15,62,38,67,35,38,31,15,51,22,89,0,0,4,3,1
2012-13,Delhi,5570,387,1833,5,112,12383,3255,17342,134,3732,7653,2505,34847,312,14318,693,154,2469,13,1085
2012-13,Goa,450,76,39,3,4,1220,220,173,76,34,296,72,137,25,109,4,0,9,1,6
2012-13,Gujarat,10885,60419,4740,514,346,3789,45647,11903,912,862,1558,27149,9177,583,1393,72,1138,355,21,41
2012-13,Haryana,6792,1847,2662,776,1581,16898,6913,15230,2603,6389,9970,4064,18657,3563,15909,364,155,992,336,1817
2012-13,Himachal Pradesh,4790,737,448,1005,1041,7357,2215,2303,2360,4077,5094,1795,4000,2546,13297,196,62,221,146,1498
2012-13,Jammu & Kashmir,6464,12662,1416,50,116,9205,25315,6869,169,663,4875,13602,5154,139,1385,122,346,156,9,78
2012-13,Jharkhand,4088,8180,1102,19,79,6662,17814,5323,87,1404,2150,8048,4765,41,1741,131,328,312,0,129
2012-13,Karnataka,32282,94551,3237,568,276,2822,9996,1011,229,140,915,4753,2769,112,329,902,3425,801,31,49
2012-13,Kerala,22156,15280,12327,1724,9099,14779,20388,18503,3056,16897,2842,5262,15708,673,12891,183,363,784,25,791
2012-13,Lakshadweep,30,19,6,0,0,22,41,28,4,81,10,15,18,5,62,0,0,0,0,0
2012-13,Madhya Pradesh,85062,34072,6011,4909,194,74036,46488,17368,30704,699,52684,18348,13745,44219,889,771,785,443,616,26
2012-13,Maharashtra,44401,60991,1856,47,14085,45892,77240,7152,79,53380,11365,22007,6037,32,32800,188,319,218,0,694
2012-13,Manipur,3925,1711,212,33,2,5385,4499,948,200,160,812,836,787,16,299,55,52,47,1,11
2012-13,Meghalaya,8610,413,48,5344,85,3670,458,310,4086,399,286,58,213,374,488,18,3,7,15,19
