YEAR,STATE,arts_c11_b,sci_c11_b,com_c11_b,voc_c11_b,oth_c11_b,arts_c11_g,sci_c11_g,com_c11_g,voc_c11_g,oth_c11_g,Total_11,arts_c12_b,sci_c12_b,com_c12_b,voc_c12_b,oth_c12_b,arts_c12_g,sci_c12_g,com_c12_g,voc_c12_g,oth_c12_g,Total_12
2013-14,Tamil Nadu,29807,235743,63819,38735,3636,36884,281219,76582,24694,4309,724054,28000,212393,57606,39345,3268,36820,252549,74836,28303,3611,662204
2013-14,Puducherry,312,4668,1541,329,55,359,5500,1845,353,107,14225,257,3873,1259,254,47,302,5036,1689,356,88,12416
2013-14,Andaman & Nicobar Island,2064,609,458,23,0,1587,610,396,23,1,5724,1336,480,319,37,1,1354,523,334,17,5,4346
2014-15,Jammu & Kashmir,40825,25072,4847,137,188,36962,18448,2471,98,136,128625,33550,21193,4019,118,79,30704,15459,2336,62,112,107261
2014-15,Himachal Pradesh,33195,18936,11494,307,0,33917,14330,7596,157,0,119468,23510,17387,9984,234,1,27520,13231,6928,128,1,98560
2014-15,Punjab,121743,39022,26190,10113,347,97494,31723,20727,4041,208,336899,123179,35007,20841,8422,255,104948,28218,17866,3854,222,330059
2014-15,Chandigarh,4926,3184,2198,882,32,3673,1922,1962,708,0,17865,3659,2963,2048,712,29,3138,1672,1798,620,0,15278
2014-15,Uttarakhand,27110,28945,7027,37,304,40659,17357,4167,51,37,125265,27239,31275,5915,66,267,41445,17134,3630,54,59,126638
2014-15,Haryana,79949,59202,41461,105,99,74388,32750,33365,98,90,321115,81247,57383,37547,172,92,75371,29827,29921,160,64,311296
2014-15,Delhi,91209,32378,44903,3445,0,87665,18324,33265,8228,0,307744,55709,28440,35425,2441,0,66958,16796,28647,5894,0,231975
2014-15,Rajasthan,244984,108899,33309,230,1039,198140,46530,18357,102,635,650219,218960,98331,31247,247,696,169919,37192,16437,102,484,572086
2014-15,Uttar Pradesh,708219,433256,43128,12378,99049,825236,191466,23372,11285,85133,2224677,653861,389710,39634,12177,99091,792449,168103,21613,10437,87754,2065370
2014-15,Bihar,69919,84785,11665,386,281,94131,45307,5647,255,359,311454,59548,83053,11814,320,209,77031,41977,5592,248,242,279015
2014-15,Sikkim,1580,759,509,426,234,2403,896,458,297,263,6605,1026,522,378,304,228,1731,653,304,220,267,4614
2014-15,Arunanchal Pradesh,6945,1387,357,0,0,6775,1302,269,0,0,17035,5543,1327,215,0,0,5454,1187,216,0,0,13942
2014-15,Nagaland,5974,1222,687,0,9,5769,855,421,0,30,14928,4834,956,588,0,5,5153,687,413,0,31,12631
2014-15,Manipur,3888,10636,371,0,0,3831,9343,311,0,0,28380,3601,10586,383,0,0,3850,9476,298,0,0,28194
2014-15,Mizoram,3753,1051,288,221,53,4019,918,227,163,41,10256,3447,1105,272,167,33,3452,912,232,121,43,9420
2014-15,Tripura,11676,2922,1103,0,6,11065,1895,239,0,0,28900,11360,2536,933,0,5,9606,1498,189,0,0,26122
2014-15,Meghalaya,6663,1883,1387,4,0,9613,1908,911,2,0,22365,6869,1787,1309,5,0,9538,1691,919,4,0,22113
2014-15,Assam,59250,9959,5774,345,696,64138,5134,2516,162,404,146771,61758,8584,5606,399,486,67509,4091,2163,169,235,149711
2014-15,West Bengal,329778,52465,28875,14286,1215,378533,28847,8916,4790,991,827414,295109,48681,26998,11737,1583,323225,26421,8407,3910,1550,728841
2014-15,Jharkhand,80795,38158,21651,844,1286,88865,24276,16552,424,675,270297,78983,35353,20692,927,1830,84576,21554,14956,384,946,256114
2014-15,Odisha,292,1788,252,0,0,244,1333,194,0,59,4103,173,1436,198,0,0,174,1016,128,0,0,3125
2014-15,Chhattisgarh,42873,48671,21809,1721,6504,55125,46498,16229,936,3768,231205,43844,60831,24158,1581,6490,53131,48521,16836,1058,3427,247321
2014-15,Madhya Pradesh,87775,161347,57017,2977,27476,95681,118812,44629,1335,16637,565261,88903,189636,58805,3350,31679,95573,129110,45434,1427,18207,607461
2014-15,Gujarat,96733,85035,99073,794,2750,84762,48768,79559,672,1974,493930,89202,78728,93955,767,2619,79416,45061,77107,639,1749,463469
2014-15,Daman & Diu,72,216,137,8,0,218,85,136,9,0,864,168,187,160,17,0,394,107,181,9,0,1197
2014-15,Dadara & Nagar Havelli,349,444,516,0,0,292,375,443,0,0,2419,411,435,480,0,0,420,392,446,0,0,2584
2014-15,Maharashtra,241721,259732,160226,39321,8133,242143,188997,144082,17545,5623,1236901,232980,237588,138544,34893,7490,221678,174384,131440,16380,5169,1136614
2014-15,Andhra Pradesh,30937,54370,17738,5089,463,32169,53969,15544,3428,793,204727,14190,33602,10581,2959,317,13595,28950,8777,2099,396,109695
2014-15,Karnataka,36713,25294,27339,43,21,38796,24215,29137,27,0,181494,27202,21962,30625,23,16,32822,21003,26107,22,0,159721
2014-15,Goa,1466,2267,2842,2174,0,2711,2389,2402,885,28,14077,865,2118,2215,1656,0,2088,2258,2403,883,22,11947
2014-15,Lakshadweep,247,164,58,0,0,205,306,45,0,0,1025,265,173,42,0,0,169,258,27,0,0,934
2014-15,Kerala,28275,54948,31482,6974,2317,32396,61928,30979,5978,1692,240008,23528,45499,25897,5610,1826,26616,53655,26511,5381,1439,201706
2014-15,Tamil Nadu,37511,222083,65266,37181,4156,43041,254652,76749,22534,5183,699302,32627,208223,55364,31294,3539,38549,245141,68215,21179,4690,648119
2014-15,Puducherry,146,4743,1439,469,17,309,5628,1728,348,13,13993,114,4226,1048,293,0,191,4931,1474,265,0,11984
2014-15,Andaman & Nicobar Island,2311,629,465,42,0,1854,719,433,23,0,6411,1572,601,366,21,0,1471,661,359,23,0,5030
2014-15,Telangana,23690,25593,10035,4399,883,22974,31300,8425,2802,859,122017,9418,13050,6573,3111,966,9019,15882,6141,2301,815,60083
2015-16,Jammu & Kashmir,35530,25410,4632,72,138,33299,18415,2955,108,99,120241,35722,26404,4677,78,161,34747,18795,2659,123,105,123004
2015-16,Himachal Pradesh,31697,19815,10693,101,0,31504,15930,7280,87,0,116919,28211,18843,9947,112,0,30872,14613,6804,86,0,109290
2015-16,Punjab,117516,43492,28146,9434,164,95702,36654,22273,4246,243,343783,112712,38918,24380,7963,309,93019,32125,20431,3494,224,321585
2015-16,Chandigarh,4454,3586,2184,898,0,3716,2143,1852,810,0,17935,3860,2721,2038,715,0,3298,1706,1768,609,0,15391
2015-16,Uttarakhand,33480,31569,6658,47,410,47936,18930,4019,13,184,142592,33058,32482,5984,50,372,48290,19100,3786,16,130,142700
2015-16,Haryana,70465,54219,37379,179,0,66431,32101,30995,282,1,291590,75445,57185,37242,295,12,68962,32027,32490,235,10,303351
2015-16,Delhi,74646,31450,38911,3207,0,80317,18068,27670,7519,0,271062,52193,28794,36197,2051,0,63917,17128,29239,5163,0,227468
2015-16,Rajasthan,306343,135704,36401,672,1831,261628,63343,20902,256,1183,824321,316521,126578,36643,806,2088,240940,51737,19731,241,1265,792150
2015-16,Uttar Pradesh,629216,428262,41226,12593,95613,765383,208231,23611,10622,82038,2095929,681316,483597,40842,12695,91679,814415,209015,22192,9978,83842,2251377
2015-16,Bihar,94973,119436,14715,1079,1367,128246,69550,7619,848,1611,434539,94927,115793,15231,1292,1109,123352,59581,6966,1127,2014,415850
2015-16,Sikkim,1883,772,443,506,147,2633,966,512,366,115,7209,1616,718,443,330,100,2320,861,396,293,109,6354
2015-16,Arunanchal Pradesh,7160,1200,381,0,0,6984,1254,206,0,0,17185,5685,1245,337,0,0,5641,1189,262,0,0,14359
2015-16,Nagaland,6818,1440,449,0,88,6764,1287,295,0,78,17053,5206,1247,511,0,10,5201,1163,356,0,42,13684
2015-16,Manipur,3925,11511,366,0,0,3869,10457,272,0,0,30400,3788,11455,319,0,0,3640,10247,270,0,0,29719
2015-16,Mizoram,3638,1148,298,181,6,4073,1008,243,123,22,10408,3859,1027,299,207,2,4387,918,234,111,20,10724
2015-16,Tripura,12287,2887,1026,0,19,11644,1956,220,0,0,30020,11069,2493,869,0,15,10171,1773,236,0,4,26611
2015-16,Meghalaya,9328,2084,1504,0,0,11250,2267,933,0,0,27366,8470,2021,1471,0,0,11148,2161,954,0,0,26225
2015-16,Assam,74076,14327,8879,698,537,77318,7901,3846,297,404,186347,65058,12559,6743,471,305,67755,6752,3475,163,243,162342
2015-16,West Bengal,322669,56081,29895,14711,482,383145,32730,10501,4847,760,835021,300442,50412,28177,11711,422,345199,29504,9200,3828,584,762934
2015-16,Jharkhand,70318,36249,20360,509,839,75631,23033,15441,380,319,241032,72620,35305,20217,769,641,76610,20195,14569,520,301,239516
2015-16,Odisha,65059,17060,5109,830,93,69607,13724,2874,614,208,173433,57758,15693,5383,819,116,62782,12323,2876,636,168,156815
2015-16,Chhattisgarh,54251,49854,20774,1486,5401,65344,50543,17224,947,3048,257990,60098,54199,23367,1559,6358,67727,46810,16975,1102,3314,269176
2015-16,Madhya Pradesh,78639,157181,63344,3104,26864,89463,121015,52260,1338,14817,561902,83725,180773,64794,3338,30052,92426,125093,51978,1650,16642,598789
2015-16,Gujarat,74815,87475,101502,787,2118,74469,52136,84355,1160,1476,474752,85587,82696,92068,826,2266,78270,47799,78255,1052,1663,464675
2015-16,Daman & Diu,49,198,158,36,0,132,140,135,19,0,812,67,215,72,11,0,182,115,85,13,0,736
2015-16,Dadara & Nagar Havelli,912,509,931,0,0,846,533,693,0,0,4424,299,437,357,0,0,281,365,401,0,0,2140
2015-16,Maharashtra,270507,277250,167054,32809,7185,254064,208945,152644,14232,6712,1330464,241766,245637,143323,27925,6896,232479,180127,135888,12546,6412,1179220
2015-16,Andhra Pradesh,11593,203053,11203,2046,0,12049,194823,10137,1600,0,442858,13849,228723,12405,982,0,12209,212697,10253,636,0,490136
2015-16,Karnataka,99667,47395,46991,82,1942,98776,49452,53592,98,866,395873,76456,38007,36282,60,1226,81251,40077,44507,65,804,316580
2015-16,Goa,1591,3012,3081,2350,42,3176,2886,2703,889,33,16449,1037,2437,2343,1845,17,2493,2512,2451,827,28,13273
2015-16,Lakshadweep,326,196,73,0,0,352,404,53,0,0,1404,230,157,65,0,0,197,301,44,0,0,994
2015-16,Kerala,37260,79379,46796,11302,3940,42246,91358,46861,9919,3603,343900,34354,76648,44262,10354,3839,40369,86834,44059,9280,3467,326526
2015-16,Tamil Nadu,41467,266406,87429,40638,4885,49090,309235,101466,26574,4199,855093,34931,241268,73132,36328,4015,42586,284243,87148,23944,3983,763308
2015-16,Puducherry,248,5676,1815,603,109,426,6333,2021,444,28,16519,225,4782,1304,392,79,333,5405,1645,317,43,13694
2015-16,Andaman & Nicobar Island,1928,638,412,23,0,1735,768,387,5,0,5868,1415,566,366,26,0,1440,673,362,17,0,4822
2015-16,Telangana,63589,65086,23581,11096,5103,65996,71177,23139,9449,5830,312568,63145,64315,23353,11185,5096,64417,68783,22747,8413,5734,306760
2016-17,Jammu & Kashmir,31315,25166,4026,41,66,30207,18250,2109,77,146,111073,27903,26076,4053,45,94,27932,18520,1931,19,134,106415
2016-17,Himachal Pradesh,31125,18594,9763,166,3,30369,14897,6919,110,0,111667,27523,18135,9563,124,0,28995,14422,6808,63,18,105446
2016-17,Punjab,124829,43731,28681,10146,95,97867,37793,23805,4911,75,356706,112118,40214,24765,8113,89,92058,34301,21305,3846,72,324761
2016-17,Chandigarh,4515,4130,2117,971,34,3690,2285,1742,774,31,18479,3676,3361,1980,742,30,3150,1926,1645,673,39,15738
