Year,State,ENR1G,ENR2G,ENR3G,ENR4G,ENR5G,ENRTOTG,ENR1P,ENR2P,ENR3P,ENR4P,ENR5P,ENRTOTP
2016-17,CHANDIGARH,1908,9161,42189,0,256,100687,983,3095,40660,0,1072,55095
2016-17,CHHATTISGARH,1845312,30643,36959,1037604,31367,3146492,140953,427517,439007,23503,12544,1187434
2016-17,DADRA & NAGAR HAVELI,6700,33217,726,44,188,41075,1221,5187,7272,0,0,18044
2016-17,DAMAN & DIU,8819,0,0,5297,275,14746,714,1121,9444,0,205,13905
2016-17,DELHI,779978,3533,473636,9410,296983,1634582,209118,326883,670276,2780,21930,1353919
2016-17,GOA,19766,3059,4358,0,757,35549,34621,2736,5384,600,0,158035
2016-17,GUJARAT,602079,4939195,36383,55098,14501,5664560,139055,2015360,842313,91809,29197,3346546
2016-17,HARYANA,915387,1195,26903,178710,291866,1569309,80417,422835,1126478,342,10207,2154469
2016-17,HIMACHAL PRADESH,311525,698,9749,56987,133160,558542,21201,69627,183053,0,553,382109
2016-17,JAMMU & KASHMIR,292365,496814,20917,5354,5626,954253,69855,236011,148003,0,595,738704
2016-17,JHARKHAND,1379664,2377703,66714,4244,47671,4302336,54184,218622,258680,10425,6474,765277
2016-17,KARNATAKA,668017,3024324,23638,13460,8556,4154999,367735,2033656,324723,24842,3419,4207304
2016-17,KERALA,223311,201975,177111,11788,155215,874991,509703,609245,781786,106585,328101,2905678
2016-17,LAKSHADWEEP,2128,2531,964,369,787,7278,0,0,0,0,0,0
2016-17,MADHYA PRADESH,4554567,3088,63622,2884081,8808,7520779,226387,2154492,1617073,11514,18427,4733923
2016-17,MAHARASHTRA,1992368,3328538,132076,628,11112,5718528,1710281,3001626,2247325,3820,212966,10182972
2016-17,MANIPUR,79363,33669,6853,1990,4593,165341,16684,45956,51596,1357,253,285578
2016-17,MEGHALAYA,249072,1080,6113,87762,4597,355573,197604,22557,10216,79828,2305,353663
2016-17,MIZORAM,55577,1000,0,45374,0,101951,17417,68009,0,13283,0,98709
2016-17,NAGALAND,37518,56780,1318,2368,5258,127127,7646,24959,60019,0,114,166991
2016-17,ODISHA,1641087,2294673,32019,214363,35011,4885098,85367,382691,101409,90900,906,1035901
2016-17,PONDICHERRY,16920,6892,2810,279,7323,47144,5040,5594,74987,0,33,121587
2016-17,PUNJAB,965661,52450,207100,170432,326544,2006389,59320,229427,890482,420,16937,1720848
2016-17,RAJASTHAN,1310243,2305877,1755634,20259,49764,6156649,315513,2269728,1818954,914,40699,5804988
2016-17,SIKKIM,10302,18097,17269,0,769,63794,7861,12558,5762,0,0,30987
2016-17,TAMIL NADU,1484199,1188408,343968,4776,617433,4157320,1411760,511223,1751454,3222,544470,4894499
2016-17,TRIPURA,87764,122092,112495,165,9311,449773,9196,15820,36409,0,1531,82997
2016-17,UTTAR PRADESH,11788713,39799,147132,3519731,90513,15612870,7214045,3489953,1428894,2578676,1816093,17355689
2016-17,UTTARAKHAND,423193,1161,27911,110245,105732,719342,207121,307921,245668,43250,45496,909327
2016-17,WEST BENGAL,5076344,27602,90178,875523,3709750,10502475,588529,136340,130334,20123,22135,969063
