Year,State,PTMG,PTFG,PTMP,PTFP
2015-16,MIZORAM,99.3961914,99.4369369,18.6531987,14.3121693
2015-16,NAGALAND,36.5960037,39.8077157,23.5333186,22.5003793
2015-16,ODISHA,95.6036373,96.2808888,73.5723438,52.7173913
2015-16,PUDUCHERRY,100,100,100,100
2015-16,PUNJAB,99.8741116,99.7362694,88.0004569,83.6306177
2015-16,RAJASTHAN,98.289602,98.3136252,90.1699969,87.3314622
2015-16,SIKKIM,65.8980583,64.6030806,29.3706294,26.8496006
2015-16,TAMIL NADU,99.4387506,99.0470918,98.2896982,95.4212137
2015-16,TELANGANA,99.9903583,99.9384716,96.7775026,95.2871247
2015-16,TRIPURA,46.3618956,47.9584182,29.4536049,30.5032655
2015-16,UTTAR PRADESH,91.9437267,88.1696394,70.7266743,64.6867987
2015-16,UTTARAKHAND,96.6369541,96.2605186,76.8233584,68.0683414
2015-16,WEST BENGAL,67.4820508,70.9709261,24.4977695,26.423498
2016-17,A & N ISLANDS,99.2961877,99.3947255,96.6244726,98.404908
2016-17,ANDHRA PRADESH,99.9672266,99.9668232,97.0592407,93.1562194
2016-17,ARUNACHAL PRADESH,61.8102007,51.1894996,31.0368824,25.5813953
2016-17,ASSAM,59.2286451,64.0664412,8.9070082,12.6688944
2016-17,BIHAR,65.8877861,60.005822,33.3033156,32.0868993
2016-17,CHANDIGARH,99.5224451,99.8091603,96.4010283,98.3568752
2016-17,CHHATTISGARH,90.6767116,91.3635657,35.345394,30.1176849
2016-17,DADRA & NAGAR HAVELI,99.744898,100,83.248731,74.4460857
2016-17,DAMAN & DIU,99.122807,99.0147783,92.8571429,81.0690423
2016-17,DELHI,100,100,100,100
2016-17,GOA,99.5356037,99.9548329,98.8605898,96.3100729
2016-17,GUJARAT,99.9990681,100,99.9192292,99.8305783
2016-17,HARYANA,98.8631507,98.877551,94.5086461,93.1153141
2016-17,HIMACHAL PRADESH,97.5266092,98.0614548,94.6766229,92.6546094
2016-17,JAMMU & KASHMIR,57.7913125,68.5425643,43.7659744,44.3457718
2016-17,JHARKHAND,97.7186423,97.6379516,67.7112933,73.0738298
2016-17,KARNATAKA,99.3778033,99.463029,95.6072138,93.3913061
2016-17,KERALA,99.0285904,99.1744894,97.919337,98.0627185
2016-17,LAKSHADWEEP,97.5429975,98.4326019,0,0
