year,grade,total,girls,boys,x,State
2015-16,7,3277,1547,1730,daman & diu,DAMAN & DIU
2015-16,8,3170,1498,1672,daman & diu,DAMAN & DIU
2014-15,1,3598,1679,1919,daman & diu,DAMAN & DIU
2014-15,2,3606,1650,1956,daman & diu,DAMAN & DIU
2014-15,3,3826,1725,2101,daman & diu,DAMAN & DIU
2014-15,4,3603,1646,1957,daman & diu,DAMAN & DIU
2014-15,5,3526,1606,1920,daman & diu,DAMAN & DIU
2014-15,6,3430,1606,1824,daman & diu,DAMAN & DIU
2014-15,7,3295,1544,1751,daman & diu,DAMAN & DIU
2014-15,8,3273,1474,1799,daman & diu,DAMAN & DIU
2013-14,1,3525,1606,1919,daman & diu,DAMAN & DIU
2013-14,2,3869,1766,2103,daman & diu,DAMAN & DIU
2013-14,3,3662,1657,2005,daman & diu,DAMAN & DIU
2013-14,4,3532,1612,1920,daman & diu,DAMAN & DIU
2013-14,5,3564,1647,1917,daman & diu,DAMAN & DIU
2013-14,6,3481,1638,1843,daman & diu,DAMAN & DIU
2013-14,7,3426,1555,1871,daman & diu,DAMAN & DIU
2013-14,8,3102,1431,1671,daman & diu,DAMAN & DIU
2016-17,1,335091,157994,177097,delhi,DELHI
2016-17,2,362778,171495,191283,delhi,DELHI
2016-17,3,381469,179966,201503,delhi,DELHI
2016-17,4,381868,177373,204495,delhi,DELHI
2016-17,5,399916,183751,216165,delhi,DELHI
2016-17,6,384296,178966,205330,delhi,DELHI
2016-17,7,373991,175043,198948,delhi,DELHI
2016-17,8,369092,171318,197774,delhi,DELHI
2015-16,1,344298,163184,181114,delhi,DELHI
2015-16,2,370904,175583,195321,delhi,DELHI
2015-16,3,377912,176382,201530,delhi,DELHI
2015-16,4,385629,178000,207629,delhi,DELHI
2015-16,5,408231,186538,221693,delhi,DELHI
2015-16,6,379567,177009,202558,delhi,DELHI
2015-16,7,369204,171817,197387,delhi,DELHI
2015-16,8,371265,175645,195620,delhi,DELHI
2014-15,1,345644,164833,180811,delhi,DELHI
2014-15,2,363293,170382,192911,delhi,DELHI
2014-15,3,376026,175125,200901,delhi,DELHI
2014-15,4,390043,179618,210425,delhi,DELHI
2014-15,5,400508,183460,217048,delhi,DELHI
2014-15,6,376386,174165,202221,delhi,DELHI
2014-15,7,372615,176627,195988,delhi,DELHI
2014-15,8,366552,168354,198198,delhi,DELHI
2013-14,1,329237,155718,173519,delhi,DELHI
2013-14,2,355773,166875,188898,delhi,DELHI
2013-14,3,378517,175560,202957,delhi,DELHI
2013-14,4,380314,175660,204654,delhi,DELHI
2013-14,5,384900,175645,209255,delhi,DELHI
2013-14,6,384000,181430,202570,delhi,DELHI
2013-14,7,370305,169641,200664,delhi,DELHI
2013-14,8,361145,164950,196195,delhi,DELHI
2016-17,1,24846,11786,13060,goa,GOA
2016-17,2,24757,11893,12864,goa,GOA
2016-17,3,24208,11560,12648,goa,GOA
2016-17,4,24177,11657,12520,goa,GOA
2016-17,5,24302,11536,12766,goa,GOA
2016-17,6,23883,11418,12465,goa,GOA
2016-17,7,23921,11389,12532,goa,GOA
2016-17,8,23490,11104,12386,goa,GOA
2015-16,1,25371,12128,13243,goa,GOA
2015-16,2,24728,11902,12826,goa,GOA
2015-16,3,24571,11890,12681,goa,GOA
2015-16,4,24711,11828,12883,goa,GOA
2015-16,5,24407,11656,12751,goa,GOA
2015-16,6,24492,11706,12786,goa,GOA
2015-16,7,23902,11373,12529,goa,GOA
2015-16,8,24127,11499,12628,goa,GOA
2014-15,1,25297,12176,13121,goa,GOA
2014-15,2,24635,11964,12671,goa,GOA
2014-15,3,24764,11819,12945,goa,GOA
2014-15,4,24673,11845,12828,goa,GOA
2014-15,5,24486,11694,12792,goa,GOA
2014-15,6,24016,11412,12604,goa,GOA
2014-15,7,24267,11514,12753,goa,GOA
2014-15,8,24390,11681,12709,goa,GOA
2013-14,1,24722,11986,12736,goa,GOA
2013-14,2,24768,11856,12912,goa,GOA
2013-14,3,24694,11852,12842,goa,GOA
2013-14,4,24659,11848,12811,goa,GOA
2013-14,5,23977,11387,12590,goa,GOA
2013-14,6,24378,11579,12799,goa,GOA
2013-14,7,24389,11659,12730,goa,GOA
2013-14,8,26497,12295,14202,goa,GOA
2016-17,1,1126865,529918,596947,gujarat,GUJARAT
2016-17,2,1105071,520978,584093,gujarat,GUJARAT
2016-17,3,1029067,484873,544194,gujarat,GUJARAT
2016-17,4,1117426,529153,588273,gujarat,GUJARAT
2016-17,5,1137889,534405,603484,gujarat,GUJARAT
2016-17,6,1202839,555581,647258,gujarat,GUJARAT
2016-17,7,1169111,535695,633416,gujarat,GUJARAT
2016-17,8,1123905,506960,616945,gujarat,GUJARAT
2015-16,1,1125292,529172,596120,gujarat,GUJARAT
2015-16,2,1033847,486937,546910,gujarat,GUJARAT
2015-16,3,1122324,531396,590928,gujarat,GUJARAT
2015-16,4,1138115,536672,601443,gujarat,GUJARAT
2015-16,5,1228467,568864,659603,gujarat,GUJARAT
2015-16,6,1190336,546625,643711,gujarat,GUJARAT
2015-16,7,1157420,525782,631638,gujarat,GUJARAT
2015-16,8,1094913,491614,603299,gujarat,GUJARAT
2014-15,1,1049069,493198,555871,gujarat,GUJARAT
2014-15,2,1126299,533239,593060,gujarat,GUJARAT
2014-15,3,1141293,538632,602661,gujarat,GUJARAT
2014-15,4,1235991,573474,662517,gujarat,GUJARAT
2014-15,5,1212030,558403,653627,gujarat,GUJARAT
2014-15,6,1175504,536138,639366,gujarat,GUJARAT
2014-15,7,1124975,509774,615201,gujarat,GUJARAT
2014-15,8,1077290,479173,598117,gujarat,GUJARAT
2013-14,1,1143578,541609,601969,gujarat,GUJARAT
2013-14,2,1144016,540988,603028,gujarat,GUJARAT
2013-14,3,1239427,576636,662791,gujarat,GUJARAT
2013-14,4,1216335,562824,653511,gujarat,GUJARAT
2013-14,5,1193211,547422,645789,gujarat,GUJARAT
2013-14,6,1135195,517370,617825,gujarat,GUJARAT
2013-14,7,1100411,494985,605426,gujarat,GUJARAT
2013-14,8,1057298,468724,588574,gujarat,GUJARAT
2016-17,1,483485,216444,267041,haryana,HARYANA
2016-17,2,463560,207541,256019,haryana,HARYANA
2016-17,3,478811,216144,262667,haryana,HARYANA
2016-17,4,481192,218507,262685,haryana,HARYANA
2016-17,5,493085,222739,270346,haryana,HARYANA
2016-17,6,483828,218617,265211,haryana,HARYANA
2016-17,7,468046,210605,257441,haryana,HARYANA
2016-17,8,472895,213677,259218,haryana,HARYANA
2015-16,1,446753,199636,247117,haryana,HARYANA
2015-16,2,460006,209105,250901,haryana,HARYANA
2015-16,3,471626,215776,255850,haryana,HARYANA
2015-16,4,474073,216416,257657,haryana,HARYANA
2015-16,5,484192,220897,263295,haryana,HARYANA
2015-16,6,462554,208937,253617,haryana,HARYANA
2015-16,7,469500,213487,256013,haryana,HARYANA
2015-16,8,462240,209948,252292,haryana,HARYANA
2014-15,1,487663,220446,267217,haryana,HARYANA
2014-15,2,498618,228207,270411,haryana,HARYANA
2014-15,3,503071,229417,273654,haryana,HARYANA
2014-15,4,504968,231331,273637,haryana,HARYANA
2014-15,5,499258,226977,272281,haryana,HARYANA
2014-15,6,496892,225513,271379,haryana,HARYANA
2014-15,7,487156,220637,266519,haryana,HARYANA
2014-15,8,476340,213403,262937,haryana,HARYANA
2013-14,1,496699,226311,270388,haryana,HARYANA
2013-14,2,500048,228625,271423,haryana,HARYANA
2013-14,3,510444,234667,275777,haryana,HARYANA
2013-14,4,495898,226625,269273,haryana,HARYANA
2013-14,5,510774,232808,277966,haryana,HARYANA
2013-14,6,494855,224472,270383,haryana,HARYANA
2013-14,7,479662,215502,264160,haryana,HARYANA
